date,transaction_id,customer_id,product,product_code,product_color,product_price,purchase_size,purchase_price,revenue
2020-08-29 00:00:00,9900,1980,fan,SKU83503,brass,$13.99,2,27.98,$27.98
2020-05-01 00:00:00,12315,2463,fan,SKU83503,brass,$13.99,2,27.98,$27.98
2020-12-12 00:00:00,9890,1978,fan,SKU83503,white,$13.99,1,13.99,$13.99
2020-02-16 00:00:00,46915,9383,fan,SKU83503,black,$13.99,1,13.99,$13.99
2020-12-28 00:00:00,44700,8940,fan,SKU83503,brass,$13.99,2,27.98,$27.98
2020-12-28 00:00:00,44700,8940,lamp,SKU95363,brass,$45.99,5,160.965,$229.95
2020-10-11 00:00:00,12560,2512,bed,SKU74796,brown,$799.99,1,799.99,$799.99
2020-06-29 00:00:00,9640,1928,couch,SKU31871,grey,"$1,000.00",1,1000,"$1,000.00"
2020-11-10 00:00:00,22620,4524,couch,SKU31871,grey,"$1,000.00",1,1000,"$1,000.00"
2020-02-05 00:00:00,49430,9886,couch,SKU31871,grey,"$1,000.00",1,1000,"$1,000.00"
2020-04-28 00:00:00,49075,9815,couch,SKU31871,blue,"$1,000.00",1,1000,"$1,000.00"
2020-01-23 00:00:00,37855,7571,couch,SKU31871,purple,"$1,000.00",1,1000,"$1,000.00"
2020-02-16 00:00:00,9900,1980,couch,SKU31871,white,"$1,000.00",1,1000,"$1,000.00"
2020-10-12 00:00:00,1675,335,couch,SKU31871,white,"$1,000.00",1,1000,"$1,000.00"
2020-07-08 00:00:00,23435,4687,couch,SKU31871,brown,"$1,000.00",1,1000,"$1,000.00"
2020-10-21 00:00:00,19105,3821,couch,SKU31871,black,"$1,000.00",1,1000,"$1,000.00"
2020-12-30 00:00:00,48035,9607,rug,SKU19092,beige,$89.85,3,269.55,$269.55
2020-09-25 00:00:00,31615,6323,rug,SKU19092,grey,$89.85,2,179.7,$179.70
2020-08-11 00:00:00,31775,6355,rug,SKU19092,grey,$89.85,1,89.85,$89.85
2020-09-07 00:00:00,21870,4374,rug,SKU19092,beige,$89.85,3,269.55,$269.55
2020-07-22 00:00:00,45400,9080,vase,SKU99037,green,$9.99,2,19.98,$19.98
2020-07-22 00:00:00,45400,9080,mirror,SKU97721,brass,$199.95,1,199.95,$199.95
2020-07-22 00:00:00,45400,9080,bookcase,SKU15757,brown,$58.89,1,58.89,$58.89
2020-04-29 00:00:00,26530,5306,desk,SKU40294,brown,$169.95,1,169.95,$169.95
2020-03-22 00:00:00,14080,2816,desk,SKU40294,brown,$169.95,1,169.95,$169.95
2020-06-04 00:00:00,6340,1268,desk,SKU40294,white,$169.95,1,169.95,$169.95
2020-02-28 00:00:00,21485,4297,chair,SKU99664,black,$234.50,1,234.5,$234.50
2020-06-06 00:00:00,24785,4957,,SKU77417,beige,$399.95,1,399.95,$399.95
2020-06-06 00:00:00,24785,4957,,SKU13351,grey,$299.99,1,299.99,$299.99